Girls,Boys
MARY,WILLIAM
FLORENCE,JOHN
DORIS,GEORGE
EDITH,THOMAS
DOROTHY,ARTHUR
ANNIE,JAMES
MARGARET,CHARLES
ALICE,FREDERICK
ELIZABETH,ALBERT
ELSIE,ERNEST
GLADYS,ALFRED
WINIFRED,EDWARD
ETHEL,JOSEPH
HILDA,HAROLD
LILIAN,ROBERT
IVY,FRANK
VIOLET,HENRY
KATHLEEN,HARRY
ELLEN,WALTER
LILY,REGINALD
SARAH,HERBERT
NELLIE,LEONARD
EMILY,STANLEY
MABEL,LESLIE
ADA,RICHARD
BEATRICE,CYRIL
MARJORIE,SIDNEY
MAY,FRANCIS
ROSE,PERCY
OLIVE,DAVID
EVELYN,WILFRED
PHYLLIS,SAMUEL
GERTRUDE,NORMAN
CATHERINE,CECIL
AGNES,ERIC
JESSIE,SYDNEY
FRANCES,HORACE
GRACE,FRED
IRENE,JACK
EVA,EDWIN
CONSTANCE,RONALD
EDNA,ALEXANDER
JANE,CLIFFORD
AMY,PATRICK
VERA,BERNARD
MURIEL,MICHAEL
DAISY,VICTOR
MINNIE,PHILIP
MAUD,EDGAR
LUCY,MAURICE
EMMA,DONALD
ELEANOR,KENNETH
LOUISA,BENJAMIN
DORA,DOUGLAS
NORA,HUGH
GWENDOLINE,LAWRENCE
HELEN,DANIEL
IDA,GEOFFREY
CLARA,PETER
HANNAH,ARCHIBALD
ANNE,CHRISTOPHER
NORAH,ALAN
KATE,TOM
MARTHA,GILBERT
BERTHA,HUBERT
LILLIAN,RALPH
ANN,STEPHEN
MARION,GERALD
BESSIE,BERTIE
EILEEN,LEWIS
LAURA,ANDREW
MILDRED,PERCIVAL
RUTH,RAYMOND
ISABELLA,BERTRAM
CHARLOTTE,ARNOLD
ESTHER,EDMUND
RUBY,CLARENCE
HARRIET,LOUIS
MARIE,IVOR
MARIA,ROLAND
CAROLINE,MARK
BARBARA,GORDON
ELIZA,CLAUDE
ROSINA,MATTHEW
AMELIA,MARTIN
FREDA,LIONEL
MILLICENT,DENNIS
JANET,EVAN
FANNY,HECTOR
JOAN,ALEC
LYDIA,ANTHONY
IRIS,ALLAN
BLANCHE,OLIVER
MIRIAM,OWEN
JEAN,HOWARD
RACHEL,COLIN
ELLA,MORRIS
MARGERY,DENIS
CHRISTINA,LAURENCE
NANCY,JESSE
MARY,JOHN
MARGARET,WILLIAM
DORIS,GEORGE
DOROTHY,THOMAS
KATHLEEN,JAMES
FLORENCE,ARTHUR
ELSIE,FREDERICK
EDITH,ALBERT
ELIZABETH,CHARLES
WINIFRED,ROBERT
GLADYS,EDWARD
ANNIE,JOSEPH
ALICE,ERNEST
PHYLLIS,ALFRED
HILDA,FRANK
LILIAN,HENRY
IVY,LESLIE
MARJORIE,HAROLD
ETHEL,HARRY
VIOLET,LEONARD
IRENE,RONALD
EDNA,STANLEY
VERA,WALTER
ELLEN,REGINALD
LILY,HERBERT
OLIVE,RICHARD
EILEEN,ERIC
EVELYN,NORMAN
JOAN,CYRIL
ROSE,JACK
SARAH,SIDNEY
NELLIE,DAVID
